"","Selection","Breeding_year","Day","Month","Year","Country","Region","Site_name","Site_Code","Euring","Species","Sample_type","Sample_no","Total_flock","N_Adult","N_Juvenile","N_sampled","Perc-JV","Fam1","Fam2","Fam3","Fam4","Fam5","Fam6","Fam7","Fam8","Fam9","Fam10","Mean_Fam","Food_type","Observer","Remarks","time"
"25","X",2001,27,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,118,78,40,118,33.8983050847458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-27
"26","X",2001,27,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,239,187,52,239,21.7573221757322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-27
"27","X",2001,27,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,146,112,34,146,23.2876712328767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-27
"28","X",2001,28,10,2001,"NL","RG","IJssel, Bronkhorsterwaarden","RG2100",1590,"Kolgans","S",1,350,80,20,100,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-10-28
"29","X",2001,4,11,2001,"NL","RG","IJssel, Bronkhorsterwaarden","RG2100",1590,"Kolgans","S",1,1000,264,86,350,24.5714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-11-04
"30","X",2001,5,11,2001,"NL","RG","IJssel, Eefde","RG2100",1590,"Kolgans","S",1,1000,241,59,300,19.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-11-05
"31","X",2001,9,11,2001,"NL","RG","NIjenbeek, De Poll","RG2100",1590,"Kolgans","S",1,200,162,38,200,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-11-09
"32","X",2001,10,11,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,107,76,31,107,28.9719626168224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-11-10
"33","X",2001,10,11,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,157,145,12,157,7.64331210191083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-11-10
"34","X",2001,10,11,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,69,57,12,69,17.3913043478261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-11-10
