date,time ,waypoint,n.group,n.ads,n.juv,n.par,n.male,n.fem,terrain,activity,weather,species,n.het,tag
08/12/16,12:39,L011,64,2,0,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,1,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,1,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,6,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,1,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,1,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,3,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,3,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,7,0,2,1,1,w,e,clear,wfg,26,U01
08/13/16,11:56,L012,12,2,4,2,1,1,w,e,clouds,wfg,29,
08/13/16,11:56,L012,12,2,1,2,1,1,w,e,clouds,wfg,29,
08/13/16,11:56,L012,12,2,1,2,1,1,w,e,clouds,wfg,29,
08/13/16,13:56,L012,4,2,2,2,1,1,a,f,clouds,wfg,,
08/13/16,14:21,L013,29,2,3,2,1,1,w,e,clouds,wfg,66,
08/13/16,14:21,L013,29,2,1,2,1,1,w,e,clouds,wfg,66,
08/13/16,14:21,L013,29,2,1,2,1,1,w,e,clouds,wfg,66,
08/13/16,14:21,L013,29,2,2,2,1,1,w,e,clouds,wfg,66,
08/13/16,14:21,L013,29,2,2,2,1,1,w,e,clouds,wfg,66,
08/13/16,14:21,L013,29,2,1,2,1,1,w,e,clouds,wfg,66,
08/13/16,14:21,L013,29,2,4,2,1,1,l,e,clouds,wfg,66,
08/12/16,11:20,L011,4,2,2,2,1,1,l,e,clear,wfg,,
08/12/16,11:20,L011,7,2,5,2,1,1,l,e,clear,wfg,,
08/12/16,11:20,L011,6,2,4,2,1,1,l,e,clear,wfg,,
08/12/16,11:20,L011,6,2,4,2,1,1,l,e,clear,wfg,,
08/13/16,15:46,L015,5,2,3,2,1,1,w,f,clouds,wfg,,
08/13/16,16:08,L014,20,2,0,2,1,1,w,f,clouds,wfg,22,
08/13/16,16:08,L014,20,2,1,2,1,1,w,f,clouds,wfg,22,
08/13/16,16:08,L014,20,2,2,2,1,1,w,f,clouds,wfg,22,
08/13/16,16:08,L014,20,2,3,2,1,1,w,f,clouds,wfg,22,
08/13/16,16:08,L014,20,2,1,2,1,1,w,f,clouds,wfg,22,
08/13/16,16:08,L014,20,2,0,2,1,1,w,f,clouds,wfg,22,
08/14/16,09:30,K021,4,2,2,2,1,1,l,e,clouds,wfg,,
08/14/16,09:30,K021,2,2,0,,,,l,e,clouds,wfg,,
08/14/16,09:30,K021,2,2,0,,,,l,e,clouds,wfg,,
08/14/16,09:30,K021,3,2,1,2,1,1,l,e,clouds,wfg,,
08/14/16,09:30,K021,2,2,0,,,,l,e,clouds,wfg,,
08/14/16,10:15,K022,6,2,2,2,1,1,l,f,overcast,wfg,,U26
08/14/16,10:20,K022,6,2,0,,1,1,l,f,overcast,wfg,,
08/14/16,10:45,K023,4,2,2,2,1,1,l,f,overcast,wfg,,
08/14/16,11:01,K023,5,2,3,2,1,1,l,f,overcast,wfg,,
08/14/16,11:01,K023,2,2,0,2,1,1,l,f,overcast,wfg,,
08/14/16,11:08,L006,3,2,1,2,1,1,l,f,rain,wfg,15,
08/14/16,11:08,L006,5,2,3,2,1,1,l,f,rain,wfg,15,
08/14/16,11:08,L006,4,2,2,2,1,1,l,f,rain,wfg,15,
08/14/16,11:33,K024,5,2,3,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,3,2,1,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,4,2,2,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,4,2,2,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,5,2,3,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,3,2,1,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,3,2,1,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,3,2,1,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,4,2,2,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,4,4,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,5,2,3,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,3,2,1,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,4,2,2,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,5,2,3,2,1,1,l,f,overcast,wfg,27,
08/14/16,20:45,Camp 001,4,2,2,2,1,1,a,e,overcast,wfg,,
08/15/16,08:25,Camp 001,5,2,3,2,1,1,a,e,clear,wfg,,
