"","waypoint","date","time","n.group","n.ads","n.juv","n.par","n.male","n.fem","terrain","activity","weather","species","n.het","tag","ele","long","lat"
"59","K024","08/14/16","11:33",4,4,0,NA,NA,NA,"l","f","overcast","wfg",27,"",97,48.604666,69.238664
"60","K024","08/14/16","11:33",5,2,3,2,1,1,"l","f","overcast","wfg",27,"",97,48.604666,69.238664
"61","K024","08/14/16","11:33",3,2,1,2,1,1,"l","f","overcast","wfg",27,"",97,48.604666,69.238664
"62","K024","08/14/16","11:33",2,2,0,NA,NA,NA,"l","f","overcast","wfg",27,"",97,48.604666,69.238664
"63","K024","08/14/16","11:33",2,2,0,NA,NA,NA,"l","f","overcast","wfg",27,"",97,48.604666,69.238664
"64","K024","08/14/16","11:33",2,2,0,NA,NA,NA,"l","f","overcast","wfg",27,"",97,48.604666,69.238664
"65","K024","08/14/16","11:33",4,2,2,2,1,1,"l","f","overcast","wfg",27,"",97,48.604666,69.238664
"66","K024","08/14/16","11:33",2,2,0,NA,NA,NA,"l","f","overcast","wfg",27,"",97,48.604666,69.238664
"67","K024","08/14/16","11:33",5,2,3,2,1,1,"l","f","overcast","wfg",27,"",97,48.604666,69.238664
"68","K024","08/14/16","11:33",2,2,0,NA,NA,NA,"l","f","overcast","wfg",27,"",97,48.604666,69.238664
"69","K024","08/14/16","11:33",3,2,1,2,1,1,"l","f","overcast","wfg",27,"",97,48.604666,69.238664
"70","L002","08/10/16","17:02",3,2,1,2,1,1,"b","f","rain","wfg",1,"",113.49028,48.634797,69.248568
"71","L002","08/10/16","17:02",5,2,3,2,1,1,"l","e","rain","wfg",1,"",113.49028,48.634797,69.248568
"72","L002","08/10/16","17:02",3,2,1,2,1,NA,"b","e","rain","wfg",1,"",113.49028,48.634797,69.248568
"73","L005","08/10/16","10:57",7,2,5,2,1,1,"w","f","clouds","wfg",NA,"",108.432487,48.627406,69.237901
"74","L005","08/10/16","11:05",4,2,2,2,1,1,"l","f","clouds","wfg",NA,"",108.432487,48.627406,69.237901
"75","L005","08/10/16","11:08",4,2,2,2,1,1,"l","f","clouds","wfg",NA,"",108.432487,48.627406,69.237901
"76","L005","08/10/16","11:13",4,2,2,2,1,1,"w","f","clouds","wfg",NA,"",108.432487,48.627406,69.237901
"77","L005","08/10/16","10:58",4,2,2,2,1,1,"w","f","clouds","wfg",NA,"",108.432487,48.627406,69.237901
"78","L005","08/10/16","11:23",5,2,3,2,1,1,"b","f","clouds","wfg",NA,"",108.432487,48.627406,69.237901
"79","L005","08/10/16","12:02",3,2,1,2,1,1,"l","e","clouds","wfg",NA,"",108.432487,48.627406,69.237901
"80","L005","08/10/16","11:13",4,2,2,2,1,1,"b","f","clouds","wfg",NA,"",108.432487,48.627406,69.237901
"81","L005","08/10/16","12:02",3,2,1,2,1,1,"l","e","clouds","wfg",NA,"",108.432487,48.627406,69.237901
"82","L005","08/10/16","11:49",7,2,5,2,1,1,"b","f","clouds","wfg",NA,"",108.432487,48.627406,69.237901
"83","L006","08/14/16","11:08",4,2,2,2,1,1,"l","f","rain","wfg",15,"",107.26622,48.58814,69.2441
"84","L006","08/09/16","18:00",13,2,4,2,1,1,"w","s","fog","wfg",NA,"",107.26622,48.58814,69.2441
"85","L006","08/14/16","11:08",3,2,1,2,1,1,"l","f","rain","wfg",15,"",107.26622,48.58814,69.2441
"86","L006","08/09/16","18:00",13,2,5,2,1,1,"w","s","fog","wfg",NA,"",107.26622,48.58814,69.2441
"87","L006","08/14/16","11:08",5,2,3,2,1,1,"l","f","rain","wfg",15,"",107.26622,48.58814,69.2441
"88","L007","08/10/16","12:22",4,2,2,2,1,1,"b","e","clouds","wfg",NA,"",100.524567,48.645784,69.239195
"89","L007","08/10/16","12:18",5,2,3,2,1,1,"b","f","clouds","wfg",NA,"",100.524567,48.645784,69.239195
"90","L007","08/10/16","12:35",2,2,0,NA,NA,NA,"b","e","clouds","wfg",NA,"",100.524567,48.645784,69.239195
"91","L007","08/10/16","12:16",4,4,0,NA,NA,NA,"b","f","clouds","wfg",NA,"",100.524567,48.645784,69.239195
"92","L009","08/11/16","12:45",71,2,3,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"93","L009","08/11/16","12:45",71,2,1,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"94","L009","08/11/16","12:45",71,2,0,NA,NA,NA,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"95","L009","08/11/16","12:45",71,3,2,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"96","L009","08/11/16","12:45",71,2,2,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"97","L009","08/11/16","12:45",71,2,2,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"98","L009","08/11/16","12:45",71,2,1,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"99","L009","08/11/16","12:45",71,2,1,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"100","L009","08/11/16","12:45",71,2,1,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"101","L009","08/11/16","12:45",71,2,0,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"102","L009","08/11/16","12:45",71,2,2,2,1,1,"w","e","clouds","wfg",4,"1VS",110.651062,48.67998,69.25669
"103","L009","08/11/16","12:45",71,1,3,1,NA,NA,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"104","L009","08/11/16","12:45",71,2,1,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"105","L009","08/11/16","12:45",71,2,1,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"106","L009","08/11/16","12:45",71,1,1,1,NA,NA,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"107","L009","08/11/16","12:45",71,2,1,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"108","L009","08/11/16","12:45",71,2,2,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"109","L009","08/11/16","12:45",71,2,3,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"110","L009","08/11/16","12:45",71,2,3,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"111","L009","08/11/16","12:45",71,1,5,1,NA,NA,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"112","L009","08/11/16","12:45",71,2,2,2,1,1,"w","e","clouds","wfg",4,"",110.651062,48.67998,69.25669
"113","L010","08/11/16","11:54",5,2,3,2,1,1,"b","e","clouds","wfg",4,"",103.510902,48.647606,69.25135
"114","L010","08/11/16","11:54",7,2,5,2,1,1,"b","e","clear","wfg",4,"",103.510902,48.647606,69.25135
"115","L010","08/11/16","11:54",6,2,4,2,1,1,"b","e","clouds","wfg",4,"",103.510902,48.647606,69.25135
"116","L011","08/12/16","12:39",64,2,3,2,1,1,"w","e","clear","wfg",26,"",132.029465,48.63869,69.2693
"117","L011","08/12/16","12:39",64,2,6,2,1,1,"w","e","clear","wfg",26,"",132.029465,48.63869,69.2693
"118","L011","08/12/16","12:39",64,2,4,2,1,1,"w","e","clear","wfg",26,"",132.029465,48.63869,69.2693
